species,common_name,family,gear_class,gear_type,fishery_type,target_fishery_species,target_fishery_common,flagstate,ocean,ocean_region,location,habitat,fate_type,fate_proportion,units,sample_size,methods,start_year,end_year,time_scale,reference,notes,reviewer
Raja miraletus,brown ray,Rajidae,gillnet,trammel net,,,,,Atlantic,NE,Portugal,deep-sea,discard_unknown,0.129,count,31,researcher,2000,2000,sporadic,Coelho et al 2005,no mention of rfmo,LF
Myliobatis aquila,common eagle ray,Myliobatidae,gillnet,trammel net,,,,,Atlantic,NE,Portugal,deep-sea,retained_unknown,1,count,1,researcher,2000,2000,sporadic,Coelho et al 2005,no mention of rfmo,LF
Prionace glauca,blue shark,Carcharhinidae,gillnet,trammel net,,,,,Atlantic,NE,Portugal,deep-sea,retained_unknown,1,count,3,researcher,2000,2000,sporadic,Coelho et al 2005,no mention of rfmo,LF
Dipturus oxyrinchus,longnosed skate,Rajidae,gillnet,trammel net,,,,,Atlantic,NE,Portugal,deep-sea,retained_unknown,1,count,3,researcher,2000,2000,sporadic,Coelho et al 2005,no mention of rfmo,LF
Isurus oxyrinchus,shortfin mako shark,Lamnidae,gillnet,trammel net,,,,,Atlantic,NE,Portugal,deep-sea,retained_unknown,1,count,2,researcher,2000,2000,sporadic,Coelho et al 2005,no mention of rfmo,LF
Torpedo nobiliana,great torpedo ray,Torpedinidae,gillnet,trammel net,,,,,Atlantic,NE,Portugal,deep-sea,retained_unknown,1,count,2,researcher,2000,2000,sporadic,Coelho et al 2005,no mention of rfmo,LF
Galeorhinus galeus,tope shark,Triakidae,gillnet,trammel net,,,,,Atlantic,NE,Portugal,deep-sea,retained_unknown,1,count,1,researcher,2000,2000,sporadic,Coelho et al 2005,no mention of rfmo,LF
Leucoraja naevus,cuckoo skate,Rajidae,gillnet,trammel net,,,,,Atlantic,NE,Portugal,deep-sea,retained_unknown,1,count,1,researcher,2000,2000,sporadic,Coelho et al 2005,no mention of rfmo,LF
Raja spp,skate,Rajidae,gillnet,trammel net,,,,,Atlantic,NE,Portugal,deep-sea,discard_unknown,1,count,1,researcher,2000,2000,sporadic,Coelho et al 2005,no mention of rfmo,LF
Isurus oxyrinchus,shortfin mako,Lamnidae,longline,,,,,South Africa,Atlantic,SE,South Africa,pelagic,retained_unknown,0.96,count,1473,logbook,2013,2015,annual,Jordaan et al 2020,no mention of rfmo,LF
Isurus oxyrinchus,shortfin mako,Lamnidae,longline,,,,,South Africa,Atlantic,SE,South Africa,pelagic,discard_dead,0.04,count,61,logbook,2013,2015,annual,Jordaan et al 2020,no mention of rfmo,LF
Prionace glauca,blue shark,Carcharhinidae,longline,,,,,South Africa,Atlantic,SE,South Africa,pelagic,discard_dead,0.42,count,1784,logbook,2013,2015,annual,Jordaan et al 2020,no mention of rfmo,LF
Prionace glauca,blue shark,Carcharhinidae,longline,,,,,South Africa,Atlantic,SE,South Africa,pelagic,discard_alive,0.26,count,1102,logbook,2013,2015,annual,Jordaan et al 2020,no mention of rfmo,LF
Prionace glauca,blue shark,Carcharhinidae,longline,,,,,South Africa,Atlantic,SE,South Africa,pelagic,retained_unknown,0.32,count,1358,logbook,2013,2015,annual,Jordaan et al 2020,no mention of rfmo,LF
Carcharhinus falciformis,silky shark,Carcharhinidae,longline,,,,,South Africa,Atlantic,SE,South Africa,pelagic,discard_dead,0.72,count,41,logbook,2013,2015,annual,Jordaan et al 2020,no mention of rfmo,LF
Carcharhinus falciformis,silky shark,Carcharhinidae,longline,,,,,South Africa,Atlantic,SE,South Africa,pelagic,discard_alive,0.28,count,16,logbook,2013,2015,annual,Jordaan et al 2020,no mention of rfmo,LF
Alopias spp,thresher sharks nei,Alopidae,longline,,,,,South Africa,Atlantic,SE,South Africa,pelagic,discard_dead,0.72,count,29,logbook,2013,2015,annual,Jordaan et al 2020,no mention of rfmo,LF
Alopias spp,thresher sharks nei,Alopidae,longline,,,,,South Africa,Atlantic,SE,South Africa,pelagic,discard_alive,0.28,count,10,logbook,2013,2015,annual,Jordaan et al 2020,no mention of rfmo,LF
Sphyrna spp,hammerhead sharks nei,Sphyrnidae,longline,,,,,South Africa,Atlantic,SE,South Africa,pelagic,discard_dead,0.32,count,6,logbook,2013,2015,annual,Jordaan et al 2020,no mention of rfmo,LF
Sphyrna spp,hammerhead sharks nei,Sphyrnidae,longline,,,,,South Africa,Atlantic,SE,South Africa,pelagic,discard_alive,0.67,count,13,logbook,2013,2015,annual,Jordaan et al 2020,no mention of rfmo,LF
Lamna nasus,porbeagle shark,Lamnidae,longline,,,,,South Africa,Atlantic,SE,South Africa,pelagic,discard_dead,0.54,count,7,logbook,2013,2015,annual,Jordaan et al 2020,no mention of rfmo,LF
Lamna nasus,porbeagle shark,Lamnidae,longline,,,,,South Africa,Atlantic,SE,South Africa,pelagic,discard_alive,0.46,count,6,logbook,2013,2015,annual,Jordaan et al 2020,no mention of rfmo,LF
Carcharhinus longimanus,oceanic whitetip shark,Carcharhinidae,longline,,,,,South Africa,Atlantic,SE,South Africa,pelagic,discard_dead,0.25,count,2,logbook,2013,2015,annual,Jordaan et al 2020,no mention of rfmo,LF
Carcharhinus longimanus,oceanic whitetip shark,Carcharhinidae,longline,,,,,South Africa,Atlantic,SE,South Africa,pelagic,discard_alive,0.75,count,6,logbook,2013,2015,annual,Jordaan et al 2020,no mention of rfmo,LF
Galeocerdo cuvier,tiger shark,Carcharhinidae,longline,,,,,South Africa,Atlantic,SE,South Africa,pelagic,discard_alive,1,count,1,logbook,2013,2015,annual,Jordaan et al 2020,no mention of rfmo,LF
Carcharhinus obscurus,dusky shark,Carcharhinidae,longline,,,,,South Africa,Atlantic,SE,South Africa,pelagic,discard_alive,1,count,1,logbook,2013,2015,annual,Jordaan et al 2020,no mention of rfmo,LF
Pseudocarcharias kamoharai,crocodile shark,Pseudocarchariidae,longline,,,,,South Africa,Atlantic,SE,South Africa,pelagic,discard_alive,0.9,count,10,logbook,2013,2015,annual,Jordaan et al 2020,no mention of rfmo,LF
Pseudocarcharias kamoharai,crocodile shark,Pseudocarchariidae,longline,,,,,South Africa,Atlantic,SE,South Africa,pelagic,discard_dead,0.1,count,1,logbook,2013,2015,annual,Jordaan et al 2020,no mention of rfmo,LF
Hexanchus griseus,bluntnose sixgill shark ,Hexanchidae,mixed,"trawls, nets",multispecies,,,"England,  Wales",Atlantic,NE,"Celtic Sea, North Sea ",deep-sea,discard_unknown,0.975,count,77,observer,2002,2016,sporadic,Silva & Ellis 2019,"Aggregated for English and Welsh commercial fisheries including four main gears: otter trawls, beam trawls, nephrops, and gillnets. Also includes disaggregated values for S. acanthias by year and geartype.",SO
Hexanchus griseus,bluntnose sixgill shark ,Hexanchidae,mixed,"trawls, nets",multispecies,,,"England,  Wales",Atlantic,NE,"Celtic Sea, North Sea ",deep-sea,retained_unknown,0.025,count,2,observer,2002,2016,sporadic,Silva & Ellis 2019,"Aggregated for English and Welsh commercial fisheries including four main gears: otter trawls, beam trawls, nephrops, and gillnets. Also includes disaggregated values for S. acanthias by year and geartype.",SO
Isurus oxyrinchus,shortfin mako,Lamnidae,mixed,"trawls, nets",multispecies,,,"England,  Wales",Atlantic,NE,"Celtic Sea, North Sea ",pelagic,discard_unknown,1,count,1,observer,2002,2016,sporadic,Silva & Ellis 2019,"Aggregated for English and Welsh commercial fisheries including four main gears: otter trawls, beam trawls, nephrops, and gillnets. Also includes disaggregated values for S. acanthias by year and geartype.",SO
Lamna nasus,porbeagle shark,Lamnidae,mixed,"trawls, nets",multispecies,,,"England,  Wales",Atlantic,NE,"Celtic Sea, North Sea ",pelagic,discard_unknown,0.747,count,74,observer,2002,2016,sporadic,Silva & Ellis 2019,"Aggregated for English and Welsh commercial fisheries including four main gears: otter trawls, beam trawls, nephrops, and gillnets. Also includes disaggregated values for S. acanthias by year and geartype.",SO
Lamna nasus,porbeagle shark,Lamnidae,mixed,"trawls, nets",multispecies,,,"England,  Wales",Atlantic,NE,"Celtic Sea, North Sea ",pelagic,retained_unknown,0.253,count,25,observer,2002,2016,sporadic,Silva & Ellis 2019,"Aggregated for English and Welsh commercial fisheries including four main gears: otter trawls, beam trawls, nephrops, and gillnets. Also includes disaggregated values for S. acanthias by year and geartype.",SO
Cetorhinus maximus,basking shark,Cetorhinidae,mixed,"trawls, nets",multispecies,,,"England,  Wales",Atlantic,NE,"Celtic Sea, North Sea ",pelagic,discard_unknown,1,count,2,observer,2002,2016,sporadic,Silva & Ellis 2019,"Aggregated for English and Welsh commercial fisheries including four main gears: otter trawls, beam trawls, nephrops, and gillnets. Also includes disaggregated values for S. acanthias by year and geartype.",SO
Alopias vulpinus,thresher shark,Alopidae,mixed,"trawls, nets",multispecies,,,"England,  Wales",Atlantic,NE,"Celtic Sea, North Sea ",pelagic,discard_unknown,1,count,1,observer,2002,2016,sporadic,Silva & Ellis 2019,"Aggregated for English and Welsh commercial fisheries including four main gears: otter trawls, beam trawls, nephrops, and gillnets. Also includes disaggregated values for S. acanthias by year and geartype.",SO
Galeus melastomus,blackmouth catshark,Scyliorhinidae,mixed,"trawls, nets",multispecies,,,"England,  Wales",Atlantic,NE,"Celtic Sea, North Sea ",deep-sea,discard_unknown,0.967,count,2195,observer,2002,2016,sporadic,Silva & Ellis 2019,"Aggregated for English and Welsh commercial fisheries including four main gears: otter trawls, beam trawls, nephrops, and gillnets. Also includes disaggregated values for S. acanthias by year and geartype.",SO
Galeus melastomus,blackmouth catshark,Scyliorhinidae,mixed,"trawls, nets",multispecies,,,"England,  Wales",Atlantic,NE,"Celtic Sea, North Sea ",deep-sea,retained_unknown,0.033,count,75,observer,2002,2016,sporadic,Silva & Ellis 2019,"Aggregated for English and Welsh commercial fisheries including four main gears: otter trawls, beam trawls, nephrops, and gillnets. Also includes disaggregated values for S. acanthias by year and geartype.",SO
Scyliorhinus canicula,small spotted catshark,Scyliorhinidae,mixed,"trawls, nets",multispecies,,,"England,  Wales",Atlantic,NE,"Celtic Sea, North Sea ",deep-sea,discard_unknown,0.837,count,598328,observer,2002,2016,sporadic,Silva & Ellis 2019,"Aggregated for English and Welsh commercial fisheries including four main gears: otter trawls, beam trawls, nephrops, and gillnets. Also includes disaggregated values for S. acanthias by year and geartype.",SO
Scyliorhinus canicula,small spotted catshark,Scyliorhinidae,mixed,"trawls, nets",multispecies,,,"England,  Wales",Atlantic,NE,"Celtic Sea, North Sea ",deep-sea,retained_unknown,0.163,count,116172,observer,2002,2016,sporadic,Silva & Ellis 2019,"Aggregated for English and Welsh commercial fisheries including four main gears: otter trawls, beam trawls, nephrops, and gillnets. Also includes disaggregated values for S. acanthias by year and geartype.",SO
Scyliorhinus stellaris,nursehound,Scyliorhinidae,mixed,"trawls, nets",multispecies,,,"England,  Wales",Atlantic,NE,"Celtic Sea, North Sea ",deep-sea,discard_unknown,0.82,count,1828,observer,2002,2016,sporadic,Silva & Ellis 2019,"Aggregated for English and Welsh commercial fisheries including four main gears: otter trawls, beam trawls, nephrops, and gillnets. Also includes disaggregated values for S. acanthias by year and geartype.",SO
Scyliorhinus stellaris,nursehound,Scyliorhinidae,mixed,"trawls, nets",multispecies,,,"England,  Wales",Atlantic,NE,"Celtic Sea, North Sea ",deep-sea,retained_unknown,0.18,count,401,observer,2002,2016,sporadic,Silva & Ellis 2019,"Aggregated for English and Welsh commercial fisheries including four main gears: otter trawls, beam trawls, nephrops, and gillnets. Also includes disaggregated values for S. acanthias by year and geartype.",SO
Galeorhinus galeus,school shark,Triakidae,mixed,"trawls, nets",multispecies,,,"England,  Wales",Atlantic,NE,"Celtic Sea, North Sea ",deep-sea,discard_unknown,0.6,count,590,observer,2002,2016,sporadic,Silva & Ellis 2019,"Aggregated for English and Welsh commercial fisheries including four main gears: otter trawls, beam trawls, nephrops, and gillnets. Also includes disaggregated values for S. acanthias by year and geartype.",SO
Galeorhinus galeus,school shark,Triakidae,mixed,"trawls, nets",multispecies,,,"England,  Wales",Atlantic,NE,"Celtic Sea, North Sea ",deep-sea,retained_unknown,0.4,count,408,observer,2002,2016,sporadic,Silva & Ellis 2019,"Aggregated for English and Welsh commercial fisheries including four main gears: otter trawls, beam trawls, nephrops, and gillnets. Also includes disaggregated values for S. acanthias by year and geartype.",SO
Mustelus asterias,starry smooth-hound,Triakidae,mixed,"trawls, nets",multispecies,,,"England,  Wales",Atlantic,NE,"Celtic Sea, North Sea ",deep-sea,discard_unknown,0.688,count,14150,observer,2002,2016,sporadic,Silva & Ellis 2019,"Aggregated for English and Welsh commercial fisheries including four main gears: otter trawls, beam trawls, nephrops, and gillnets. Also includes disaggregated values for S. acanthias by year and geartype.",SO
Mustelus asterias,starry smooth-hound,Triakidae,mixed,"trawls, nets",multispecies,,,"England,  Wales",Atlantic,NE,"Celtic Sea, North Sea ",deep-sea,retained_unknown,0.312,count,6418,observer,2002,2016,sporadic,Silva & Ellis 2019,"Aggregated for English and Welsh commercial fisheries including four main gears: otter trawls, beam trawls, nephrops, and gillnets. Also includes disaggregated values for S. acanthias by year and geartype.",SO
Prionace glauca,blue shark,Carcharhinidae,mixed,"trawls, nets",multispecies,,,"England,  Wales",Atlantic,NE,"Celtic Sea, North Sea ",pelagic,discard_unknown,0.293,count,44,observer,2002,2016,sporadic,Silva & Ellis 2019,"Aggregated for English and Welsh commercial fisheries including four main gears: otter trawls, beam trawls, nephrops, and gillnets. Also includes disaggregated values for S. acanthias by year and geartype.",SO
Prionace glauca,blue shark,Carcharhinidae,mixed,"trawls, nets",multispecies,,,"England,  Wales",Atlantic,NE,"Celtic Sea, North Sea ",pelagic,retained_unknown,0.707,count,106,observer,2002,2016,sporadic,Silva & Ellis 2019,"Aggregated for English and Welsh commercial fisheries including four main gears: otter trawls, beam trawls, nephrops, and gillnets. Also includes disaggregated values for S. acanthias by year and geartype.",SO
Etmopterus spinax,velvet belly lanternshark,Etmopteridae,mixed,"trawls, nets",multispecies,,,"England,  Wales",Atlantic,NE,"Celtic Sea, North Sea ",deep-sea,discard_unknown,1,count,306,observer,2002,2016,sporadic,Silva & Ellis 2019,"Aggregated for English and Welsh commercial fisheries including four main gears: otter trawls, beam trawls, nephrops, and gillnets. Also includes disaggregated values for S. acanthias by year and geartype.",SO
Squalus acanthias,spiny dogfish,Squalidae,mixed,"trawls, nets",multispecies,,,"England,  Wales",Atlantic,NE,"Celtic Sea, North Sea ",pelagic,discard_unknown,0.383,count,3458,observer,2002,2016,sporadic,Silva & Ellis 2019,"Aggregated for English and Welsh commercial fisheries including four main gears: otter trawls, beam trawls, nephrops, and gillnets. Also includes disaggregated values for S. acanthias by year and geartype.",SO
Squalus acanthias,spiny dogfish,Squalidae,mixed,"trawls, nets",multispecies,,,"England,  Wales",Atlantic,NE,"Celtic Sea, North Sea ",pelagic,retained_unknown,0.617,count,5564,observer,2002,2016,sporadic,Silva & Ellis 2019,"Aggregated for English and Welsh commercial fisheries including four main gears: otter trawls, beam trawls, nephrops, and gillnets. Also includes disaggregated values for S. acanthias by year and geartype.",SO
Centrophorus granulosus,gulper shark,Centrophoridae,trawler,otter trawl,multispecies,,,Greece,,,Aegean Sea,deep-sea,discard_unknown,0.995,count,194,researcher,1995,2000,tri-annual,Damalas & Vassilopoulou 2011,"Study occurred in the eastern Mediterranean; no sample size available for the individual study periods (1995-2000, 2002-2006) but there is an aggregate value of total individuals caught over both time periods. Data were aggregated for both time intervals that the study took place. Fate proportions were averaged between periods for the species with different proportions for each study period",SO
Dasyatis pastinaca,common stingray,Dasyatidae,trawler,otter trawl,multispecies,,,Greece,,,Aegean Sea,small coastal,discard_unknown,0.838,count,48,researcher,1995,2000,tri-annual,Damalas & Vassilopoulou 2011,"Study occurred in the eastern Mediterranean; no sample size available for the individual study periods (1995-2000, 2002-2006) but there is an aggregate value of total individuals caught over both time periods. Data were aggregated for both time intervals that the study took place. Fate proportions were averaged between periods for the species with different proportions for each study period",SO
Dipturus oxyrinchus,longnose skate,Rajidae,trawler,otter trawl,multispecies,,,Greece,,,Aegean Sea,deep-sea,discard_unknown,0.9375,count,1953,researcher,1995,2000,tri-annual,Damalas & Vassilopoulou 2011,"Study occurred in the eastern Mediterranean; no sample size available for the individual study periods (1995-2000, 2002-2006) but there is an aggregate value of total individuals caught over both time periods. Data were aggregated for both time intervals that the study took place. Fate proportions were averaged between periods for the species with different proportions for each study period",SO
Etmopterus spinax,velvet belly lanternshark,Etmopteridae,trawler,otter trawl,multispecies,,,Greece,,,Aegean Sea,deep-sea,discard_unknown,1,count,4606,researcher,1995,2000,tri-annual,Damalas & Vassilopoulou 2011,"Study occurred in the eastern Mediterranean; no sample size available for the individual study periods (1995-2000, 2002-2006) but there is an aggregate value of total individuals caught over both time periods. Data were aggregated for both time intervals that the study took place. Fate proportions were averaged between periods for the species with different proportions for each study period",SO
Galeorhinus galeus,school shark,Triakidae,trawler,otter trawl,multispecies,,,Greece,,,Aegean Sea,deep-sea,retained_unknown,1,count,7,researcher,1995,2000,tri-annual,Damalas & Vassilopoulou 2011,"Study occurred in the eastern Mediterranean; no sample size available for the individual study periods (1995-2000, 2002-2006) but there is an aggregate value of total individuals caught over both time periods. Data were aggregated for both time intervals that the study took place. Fate proportions were averaged between periods for the species with different proportions for each study period",SO
Galeus melastomus,blackmouth catshark,Scyliorhinidae,trawler,otter trawl,multispecies,,,Greece,,,Aegean Sea,deep-sea,discard_unknown,1,count,5169,researcher,1995,2000,tri-annual,Damalas & Vassilopoulou 2011,"Study occurred in the eastern Mediterranean; no sample size available for the individual study periods (1995-2000, 2002-2006) but there is an aggregate value of total individuals caught over both time periods. Data were aggregated for both time intervals that the study took place. Fate proportions were averaged between periods for the species with different proportions for each study period",SO
Heptranchias perlo,sharpnose seven gill shark,Hexanchidae,trawler,otter trawl,multispecies,,,Greece,,,Aegean Sea,deep-sea,discard_unknown,0.488,count,41,researcher,1995,2000,tri-annual,Damalas & Vassilopoulou 2011,"Study occurred in the eastern Mediterranean; no sample size available for the individual study periods (1995-2000, 2002-2006) but there is an aggregate value of total individuals caught over both time periods. Data were aggregated for both time intervals that the study took place. Fate proportions were averaged between periods for the species with different proportions for each study period",SO
Leucoraja circularis,sandy ray,Rajidae,trawler,otter trawl,multispecies,,,Greece,,,Aegean Sea,deep-sea,discard_unknown,0.938,count,65,researcher,1995,2000,tri-annual,Damalas & Vassilopoulou 2011,"Study occurred in the eastern Mediterranean; no sample size available for the individual study periods (1995-2000, 2002-2006) but there is an aggregate value of total individuals caught over both time periods. Data were aggregated for both time intervals that the study took place. Fate proportions were averaged between periods for the species with different proportions for each study period",SO
Leucoraja melitensis,maltese ray,Rajidae,trawler,otter trawl,multispecies,,,Greece,,,Aegean Sea,deep-sea,discard_unknown,1,count,151,researcher,1995,2000,tri-annual,Damalas & Vassilopoulou 2011,"Study occurred in the eastern Mediterranean; no sample size available for the individual study periods (1995-2000, 2002-2006) but there is an aggregate value of total individuals caught over both time periods. Data were aggregated for both time intervals that the study took place. Fate proportions were averaged between periods for the species with different proportions for each study period",SO
Leucoraja naevus,cuckoo ray,Rajidae,trawler,otter trawl,multispecies,,,Greece,,,Aegean Sea,deep-sea,discard_unknown,0.994,count,341,researcher,1995,2000,tri-annual,Damalas & Vassilopoulou 2011,"Study occurred in the eastern Mediterranean; no sample size available for the individual study periods (1995-2000, 2002-2006) but there is an aggregate value of total individuals caught over both time periods. Data were aggregated for both time intervals that the study took place. Fate proportions were averaged between periods for the species with different proportions for each study period",SO
Mustelus asterias,starry smooth-hound,Triakidae,trawler,otter trawl,multispecies,,,Greece,,,Aegean Sea,pelagic,retained_unknown,1,count,22,researcher,1995,2000,tri-annual,Damalas & Vassilopoulou 2011,"Study occurred in the eastern Mediterranean; no sample size available for the individual study periods (1995-2000, 2002-2006) but there is an aggregate value of total individuals caught over both time periods. Data were aggregated for both time intervals that the study took place. Fate proportions were averaged between periods for the species with different proportions for each study period",SO
Mustelus mustelus,common smooth-hound,Triakidae,trawler,otter trawl,multispecies,,,Greece,,,Aegean Sea,deep-sea,retained_unknown,1,count,21,researcher,1995,2000,tri-annual,Damalas & Vassilopoulou 2011,"Study occurred in the eastern Mediterranean; no sample size available for the individual study periods (1995-2000, 2002-2006) but there is an aggregate value of total individuals caught over both time periods. Data were aggregated for both time intervals that the study took place. Fate proportions were averaged between periods for the species with different proportions for each study period",SO
Myliobatis aquila,common eagle ray,Myliobatidae,trawler,otter trawl,multispecies,,,Greece,,,Aegean Sea,deep-sea,discard_unknown,1,count,33,researcher,1995,2000,tri-annual,Damalas & Vassilopoulou 2011,"Study occurred in the eastern Mediterranean; no sample size available for the individual study periods (1995-2000, 2002-2006) but there is an aggregate value of total individuals caught over both time periods. Data were aggregated for both time intervals that the study took place. Fate proportions were averaged between periods for the species with different proportions for each study period",SO
Rostroraja alba,white skate,Rajidae,trawler,otter trawl,multispecies,,,Greece,,,Aegean Sea,deep-sea,discard_unknown,0.714,count,14,researcher,1995,2000,tri-annual,Damalas & Vassilopoulou 2011,"Study occurred in the eastern Mediterranean; no sample size available for the individual study periods (1995-2000, 2002-2006) but there is an aggregate value of total individuals caught over both time periods. Data were aggregated for both time intervals that the study took place. Fate proportions were averaged between periods for the species with different proportions for each study period",SO
Raja asterias,mediterranean starry ray,Rajidae,trawler,otter trawl,multispecies,,,Greece,,,Aegean Sea,deep-sea,discard_unknown,0.969,count,434,researcher,1995,2000,tri-annual,Damalas & Vassilopoulou 2011,"Study occurred in the eastern Mediterranean; no sample size available for the individual study periods (1995-2000, 2002-2006) but there is an aggregate value of total individuals caught over both time periods. Data were aggregated for both time intervals that the study took place. Fate proportions were averaged between periods for the species with different proportions for each study period",SO
Raja brachyura,blonde ray,Rajidae,trawler,otter trawl,multispecies,,,Greece,,,Aegean Sea,deep-sea,discard_unknown,1,count,1,researcher,1995,2000,tri-annual,Damalas & Vassilopoulou 2011,"Study occurred in the eastern Mediterranean; no sample size available for the individual study periods (1995-2000, 2002-2006) but there is an aggregate value of total individuals caught over both time periods. Data were aggregated for both time intervals that the study took place. Fate proportions were averaged between periods for the species with different proportions for each study period",SO
Raja clavata,thornback ray,Rajidae,trawler,otter trawl,multispecies,,,Greece,,,Aegean Sea,deep-sea,discard_unknown,0.7265,count,3789,researcher,1995,2000,tri-annual,Damalas & Vassilopoulou 2011,"Study occurred in the eastern Mediterranean; no sample size available for the individual study periods (1995-2000, 2002-2006) but there is an aggregate value of total individuals caught over both time periods. Data were aggregated for both time intervals that the study took place. Fate proportions were averaged between periods for the species with different proportions for each study period",SO
